City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olovyannaya,50.95,115.5667,-13.72,98,67,3.6,RU,1733522811
1,ust'-kut,56.7938,105.7672,25.03,89,100,8.59,RU,1733522812
2,derzhavinsk,51.1,66.3167,13.95,94,94,12.84,KZ,1733522813
3,puerto natales,-51.7236,-72.4875,61.25,27,20,18.41,CL,1733522814
4,beyneu,45.3167,55.2,28.45,76,33,7.45,KZ,1733522816
5,adamstown,-25.066,-130.1015,73.6,73,25,20.92,PN,1733522817
6,talnakh,69.4865,88.3972,6.53,97,100,5.1,RU,1733522818
7,sovetskiy,61.3614,63.5842,13.71,90,12,7.14,RU,1733522819
8,isafjordur,66.0755,-23.124,21.0,91,100,14.63,IS,1733522820
9,bei'an,46.4398,126.2373,-2.94,91,14,7.92,CN,1733522822
10,port-aux-francais,-49.35,70.2167,40.57,81,94,33.73,TF,1733522823
11,edinburgh of the seven seas,-37.0676,-12.3116,60.22,87,55,26.82,SH,1733522824
12,port elizabeth,-33.918,25.5701,66.49,94,20,10.36,ZA,1733522702
13,kyzylorda,44.8528,65.5092,26.62,80,100,11.18,KZ,1733522826
14,isla mujeres,21.2311,-86.731,78.85,64,99,13.42,MX,1733522828
15,college,64.8569,-147.8028,17.46,87,75,0.0,US,1733522829
16,gamba,-2.65,10.0,76.89,90,71,3.22,GA,1733522830
17,fortuna,40.5982,-124.1573,60.93,78,0,9.22,US,1733522831
18,grytviken,-54.2811,-36.5092,31.89,68,100,6.64,GS,1733522833
19,vorgashor,67.5833,63.95,-5.96,100,99,4.0,RU,1733522834
20,blackmans bay,-43.0167,147.3167,57.72,95,100,3.47,AU,1733522835
21,kalmunai,7.4167,81.8167,77.34,84,99,6.76,LK,1733522836
22,yellowknife,62.456,-114.3525,16.32,92,100,5.75,CA,1733522745
23,san luis de la loma,17.2706,-100.8939,82.22,63,91,3.8,MX,1733522839
24,burang,30.25,81.1667,18.32,19,0,5.93,CN,1733522840
25,acarau,-2.8856,-40.12,78.6,76,100,16.2,BR,1733522841
26,kangding,30.0513,101.9603,29.17,88,87,2.33,CN,1733522842
27,puerto deseado,-47.7503,-65.8938,49.84,55,87,18.32,AR,1733522843
28,ushuaia,-54.8,-68.3,44.6,84,92,3.8,AR,1733522845
29,olonkinbyen,70.9221,-8.7187,28.51,98,100,32.7,SJ,1733522846
30,nizhneudinsk,54.9076,99.0276,17.4,94,100,1.61,RU,1733522847
31,iskateley,67.6803,53.1512,20.39,95,100,12.46,RU,1733522848
32,brasilia de minas,-16.2064,-44.4333,70.14,70,2,4.45,BR,1733522849
33,bethel,41.3712,-73.414,30.29,50,0,8.05,US,1733522851
34,qaqortoq,60.7167,-46.0333,16.43,68,100,10.76,GL,1733522852
35,peniche,39.3558,-9.3811,64.2,77,100,15.66,PT,1733522853
36,st. john's,47.5649,-52.7093,38.97,84,75,14.97,CA,1733522854
37,bredasdorp,-34.5322,20.0403,62.62,82,79,2.73,ZA,1733522856
38,wailua homesteads,22.0669,-159.378,77.79,89,100,18.41,US,1733522858
39,invercargill,-46.4,168.35,62.02,73,83,3.0,NZ,1733522859
